date,code,market_cap,next_ret,benchmark_ret,is_st,listed_days,tradable,amount
2015-01-30,sh.600199,614131.38,-0.063348416,0.040313709,0,3677,1,182780.11
2015-01-30,sh.600200,822036.6,0.030349014,0.040313709,0,3677,1,261222.68
2015-01-30,sh.600201,1319220.5,0.089490791,0.040313709,0,3677,1,136928.13
2015-01-30,sh.600202,284438.78,0.049865229,0.040313709,0,3677,1,90403.918
2015-01-30,sh.600203,370393.45,0.0082135524,0.040313709,0,3677,1,45578.842
2015-01-30,sh.600206,934399.06,0.07989228,0.040313709,0,3677,1,93465.286
2015-01-30,sh.600208,6281662,-0.040920716,0.040313709,0,3677,1,541346.82
2015-01-30,sh.600210,750784.4,0.042424242,0.040313709,0,3677,1,63492.334
2015-01-30,sh.600211,562992.66,0.002585984,0.040313709,0,3677,1,20513.628
2015-01-30,sh.600212,465132.77,0,0.040313709,0,3677,1,203526.89
2015-01-30,sh.600215,280879.86,0.028145695,0.040313709,0,3677,1,31115.435
2015-01-30,sh.600216,1026910.5,0,0.040313709,0,3677,1,131490.28
2015-01-30,sh.600217,650227.2,0.081300813,0.040313709,0,3677,1,94423.031
2015-01-30,sh.600218,353399.8,0.053728949,0.040313709,0,3677,1,182445.23
2015-01-30,sh.600219,1711242.8,0.049368542,0.040313709,0,3677,1,710706.76
2015-01-30,sh.600221,3922662.5,0,0.040313709,0,3677,1,410655.84
2015-01-30,sh.600222,398280.35,0.017456359,0.040313709,0,3677,1,56820.568
2015-01-30,sh.600223,618598.22,0.012944984,0.040313709,0,3677,1,83591.563
2015-01-30,sh.600226,395816.07,0.2192623,0.040313709,0,3677,1,104050.1
2015-01-30,sh.600227,533170.21,-0.019607843,0.040313709,0,3677,1,155986.59
2015-01-30,sh.600228,303580.56,0.02782194,0.040313709,1,3677,1,72242.839
2015-01-30,sh.600229,386683.13,0.23234391,0.040313709,0,3677,1,90716.314
2015-01-30,sh.600230,355673.55,0.023159636,0.040313709,0,3677,1,86879.879
2015-01-30,sh.600232,,0,0.040313709,0,3677,0,
2015-01-30,sh.600233,196185,0.065601346,0.040313709,0,3677,1,23473.007
2015-01-30,sh.600234,262167.41,0.076447876,0.040313709,0,3677,1,130776.96
2015-01-30,sh.600235,258908.1,0.080054274,0.040313709,0,3677,1,80773.306
2015-01-30,sh.600236,1178992.4,-0.0077369439,0.040313709,0,3677,1,18470.916
2015-01-30,sh.600237,378127.61,0.073134328,0.040313709,0,3677,1,135543.09
2015-01-30,sh.600239,557461.56,0.029542097,0.040313709,0,3677,1,230880.94
2015-01-30,sh.600241,182002,-0.033663366,0.040313709,0,3677,1,73027.275
2015-01-30,sh.600243,193269.6,0.057598039,0.040313709,0,3677,1,34452.669
2015-01-30,sh.600246,,0,0.040313709,0,3677,0,
2015-01-30,sh.600248,413530.67,0.089347079,0.040313709,0,3677,1,33200.587
2015-01-30,sh.600249,313650,0.1348637,0.040313709,0,3677,1,30721.424
2015-01-30,sh.600251,771107.27,-0.021882952,0.040313709,0,3677,1,149667.96
2015-01-30,sh.600252,1885824.8,0.0092137592,0.040313709,0,3677,1,246499.74
2015-01-30,sh.600255,830351.25,0.056497175,0.040313709,0,3677,1,214242.48
2015-01-30,sh.600256,4401661,0.014234875,0.040313709,0,3677,1,639264.51
