date,code,open,high,low,close,preclose,volume,amount
2015-09-01,sh.000300,3296.529,3370.504,3190.578,3362.083,3366.536,35245852800,351387828324.0
2015-09-02,sh.000300,3220.851,3387.021,3213.637,3365.832,3362.083,34778941200,348986389305.0
2015-09-07,sh.000300,3347.293,3422.225,3240.243,3250.485,3365.832,20422443100,221756790269.0
2015-09-08,sh.000300,3221.789,3340.219,3170.807,3334.023,3250.485,15459963100,168294750030.0
2015-09-09,sh.000300,3344.824,3426.651,3330.29,3399.305,3334.023,22046742100,258815794996.0
2015-09-10,sh.000300,3349.281,3398.316,3337.311,3357.561,3399.305,14488297100,168108269695.0
2015-09-11,sh.000300,3349.877,3383.134,3315.478,3347.188,3357.561,10854750800,130262410873.0
2015-09-14,sh.000300,3367.642,3373.921,3187.566,3281.132,3347.188,20545725100,226168550065.0
2015-09-15,sh.000300,3208.744,3240.079,3131.979,3152.232,3281.132,14355564100,145989213753.0
2015-09-16,sh.000300,3149.158,3345.918,3131.37,3309.248,3152.232,15970999400,168269840344.0
2015-09-17,sh.000300,3287.657,3354.905,3236.999,3236.999,3309.248,16940188100,190270181393.0
2015-09-18,sh.000300,3254.443,3280.877,3227.834,3251.273,3236.999,10690348100,121752531747.0
2015-09-21,sh.000300,3222.603,3312.55,3211.934,3308.247,3251.273,12278866800,145323018237.0
2015-09-22,sh.000300,3312.365,3371.414,3303.184,3339.03,3308.247,14622198500,172492862561.0
2015-09-23,sh.000300,3290.071,3315.935,3253.333,3263.028,3339.03,12317143900,136885975737.0
2015-09-24,sh.000300,3278.896,3300.857,3255.902,3284.999,3263.028,10201123800,120820642496.0
2015-09-25,sh.000300,3272.665,3290.858,3201.914,3231.951,3284.999,12141927800,137602168790.0
2015-09-28,sh.000300,3226.607,3246.554,3186.507,3242.752,3231.951,7421946800,88007466971.0
2015-09-29,sh.000300,3197.221,3208.417,3159.042,3178.854,3242.752,8715063300,96691510035.0
2015-09-30,sh.000300,3195.901,3223.908,3186.767,3202.948,3178.854,7855934900,95881598729.0
2015-10-08,sh.000300,3324.981,3337.331,3294.605,3296.482,3202.948,13208176800,164120601354.0
2015-10-09,sh.000300,3302.36,3352.379,3293.965,3340.116,3296.482,12435250000,144731343186.0
2015-10-12,sh.000300,3351.139,3486.631,3347.251,3447.693,3340.116,22140046800,263706468495.0
2015-10-13,sh.000300,3422.477,3452.045,3413.967,3445.043,3447.693,14543378600,174978937957.0
2015-10-14,sh.000300,3431.135,3458.701,3403.23,3406.112,3445.043,15217393800,174599255680.0
2015-10-15,sh.000300,3403.389,3486.815,3402.316,3486.815,3406.112,17115829900,201881880361.0
